/usr/lib/python2.7/site-packages/ce[2018-07-27 13:27:53,288: INFO/MainProcess] beat: Starting...
[2018-07-27 13:37:53,473: INFO/MainProcess] Scheduler: Sending due task ping (switch.tasks.ping_IPAddress)
[2018-07-27 13:37:53,579: INFO/MainProcess] Scheduler: Sending due task get brand (switch.tasks.save_brand)
[2018-07-27 13:37:53,641: INFO/MainProcess] Scheduler: Sending due task get data (switch.tasks.save_data)
[2018-07-27 13:37:53,642: INFO/MainProcess] Scheduler: Sending due task abnomal (switch.tasks.gather_abnormal)
[2018-07-27 13:38:29,658: INFO/MainProcess] Scheduler: Sending due task Check name (switch.tasks.check_standard)
[2018-07-27 13:38:53,474: INFO/MainProcess] Scheduler: Sending due task ping (switch.tasks.ping_IPAddress)
[2018-07-27 13:38:53,580: INFO/MainProcess] Scheduler: Sending due task get brand (switch.tasks.save_brand)
[2018-07-27 13:38:53,642: INFO/MainProcess] Scheduler: Sending due task get data (switch.tasks.save_data)
[2018-07-27 13:38:53,643: INFO/MainProcess] Scheduler: Sending due task abnomal (switch.tasks.gather_abnormal)
[2018-07-27 13:39:29,659: INFO/MainProcess] Scheduler: Sending due task Check name (switch.tasks.check_standard)
[2018-07-27 13:39:53,476: INFO/MainProcess] Scheduler: Sending due task ping (switch.tasks.ping_IPAddress)
[2018-07-27 13:39:53,583: INFO/MainProcess] Scheduler: Sending due task get brand (switch.tasks.save_brand)
[2018-07-27 13:39:53,644: INFO/MainProcess] Scheduler: Sending due task get data (switch.tasks.save_data)
[2018-07-27 13:39:53,646: INFO/MainProcess] Writing entries (5)...
[2018-07-27 13:39:53,698: INFO/MainProcess] Scheduler: Sending due task abnomal (switch.tasks.gather_abnormal)
[2018-07-27 13:40:29,661: INFO/MainProcess] Scheduler: Sending due task Check name (switch.tasks.check_standard)
[2018-07-27 13:40:53,478: INFO/MainProcess] Scheduler: Sending due task ping (switch.tasks.ping_IPAddress)
[2018-07-27 13:40:53,584: INFO/MainProcess] Scheduler: Sending due task get brand (switch.tasks.save_brand)
[2018-07-27 13:40:53,646: INFO/MainProcess] Scheduler: Sending due task get data (switch.tasks.save_data)
[2018-07-27 13:40:53,701: INFO/MainProcess] Scheduler: Sending due task abnomal (switch.tasks.gather_abnormal)
[2018-07-27 13:41:29,663: INFO/MainProcess] Scheduler: Sending due task Check name (switch.tasks.check_standard)
[2018-07-27 13:41:53,481: INFO/MainProcess] Scheduler: Sending due task ping (switch.tasks.ping_IPAddress)
[2018-07-27 13:41:53,586: INFO/MainProcess] Scheduler: Sending due task get brand (switch.tasks.save_brand)
[2018-07-27 13:41:53,650: INFO/MainProcess] Scheduler: Sending due task get data (switch.tasks.save_data)
[2018-07-27 13:41:53,703: INFO/MainProcess] Scheduler: Sending due task abnomal (switch.tasks.gather_abnormal)
[2018-07-27 13:42:29,664: INFO/MainProcess] Scheduler: Sending due task Check name (switch.tasks.check_standard)
[2018-07-27 13:42:53,483: INFO/MainProcess] Scheduler: Sending due task ping (switch.tasks.ping_IPAddress)
[2018-07-27 13:42:53,587: INFO/MainProcess] Scheduler: Sending due task get brand (switch.tasks.save_brand)
[2018-07-27 13:42:53,651: INFO/MainProcess] Scheduler: Sending due task get data (switch.tasks.save_data)
[2018-07-27 13:42:53,704: INFO/MainProcess] Scheduler: Sending due task abnomal (switch.tasks.gather_abnormal)
[2018-07-27 13:42:53,706: INFO/MainProcess] Writing entries (5)...
[2018-07-27 13:43:29,666: INFO/MainProcess] Scheduler: Sending due task Check name (switch.tasks.check_standard)
[2018-07-27 13:36:30,157: INFO/MainProcess] Task switch.tasks.check_standard[9a16d7b5-cf76-41df-82f6-bced3abf17f9] succeeded in 0.498336261138s: None
[2018-07-27 13:36:53,580: INFO/MainProcess] Received task: switch.tasks.save_brand[f493db3f-e153-48e6-aae5-322c9c767013]
[2018-07-27 13:36:53,644: INFO/MainProcess] Received task: switch.tasks.gather_abnormal[e0f00d60-6b7d-41e0-8329-0a6a6da261c8]
[2018-07-27 13:36:53,645: INFO/MainProcess] Task switch.tasks.save_brand[f493db3f-e153-48e6-aae5-322c9c767013] succeeded in 0.0624931501225s: None
[2018-07-27 13:36:53,713: INFO/MainProcess] Task switch.tasks.gather_abnormal[e0f00d60-6b7d-41e0-8329-0a6a6da261c8] succeeded in 0.0677224709652s: None
[2018-07-27 13:37:44,260: INFO/MainProcess] Task switch.tasks.ping_IPAddress[924d8aac-f1c0-4da7-985e-b5aff0ac6677] succeeded in 110.783127981s: None
[2018-07-27 13:37:53,476: INFO/MainProcess] Received task: switch.tasks.ping_IPAddress[33b8e360-01b2-444c-aac8-1e09b3b366c5]
[2018-07-27 13:37:53,643: INFO/MainProcess] Received task: switch.tasks.save_data[7d2b3c53-bdf6-4742-9f0a-25ad4718a516]
[2018-07-27 13:37:53,703: INFO/MainProcess] Task switch.tasks.save_data[7d2b3c53-bdf6-4742-9f0a-25ad4718a516] succeeded in 0.0579597488977s: None
[2018-07-27 13:38:29,661: INFO/MainProcess] Received task: switch.tasks.check_standard[3ee0bae1-a15a-4ef8-904a-4b9491a80f14]
[2018-07-27 13:38:30,173: INFO/MainProcess] Task switch.tasks.check_standard[3ee0bae1-a15a-4ef8-904a-4b9491a80f14] succeeded in 0.51035256125s: None
[2018-07-27 13:38:53,583: INFO/MainProcess] Received task: switch.tasks.save_brand[f654fa54-2619-4356-8260-9c0ee52c3518]
[2018-07-27 13:38:53,646: INFO/MainProcess] Received task: switch.tasks.gather_abnormal[178fc421-e5bd-476a-9626-87eee1bc85f2]
[2018-07-27 13:38:53,680: INFO/MainProcess] Task switch.tasks.save_brand[f654fa54-2619-4356-8260-9c0ee52c3518] succeeded in 0.0943830921315s: None
[2018-07-27 13:38:53,681: INFO/MainProcess] Task switch.tasks.gather_abnormal[178fc421-e5bd-476a-9626-87eee1bc85f2] succeeded in 0.0340632963926s: None
